dataset,sampling_method,k,sample_fraction,repetition,sample_size,mape
Apache,kmeans_hamming,18,0.1,7,19,0.17749633766608933
Apache,kmeans_random,18,0.1,7,19,0.18084357282739624
Apache,kmeans_default,19,0.1,7,19,0.17569777207617096
Apache,kmeans_hamming,19,0.1,7,19,0.20784256208881977
Apache,kmeans_random,19,0.1,7,19,0.17756298949957686
Apache,random,,0.1,8,19,0.17602806018627046
Apache,kmeans_default,5,0.1,8,19,0.28688294963941774
Apache,kmeans_hamming,5,0.1,8,19,0.17980544663671388
Apache,kmeans_random,5,0.1,8,19,0.23584210521635673
Apache,kmeans_default,6,0.1,8,19,0.1878715255734668
Apache,kmeans_hamming,6,0.1,8,19,0.1790553915500336
Apache,kmeans_random,6,0.1,8,19,0.19196030123298125
Apache,kmeans_default,7,0.1,8,19,0.18119607269761756
Apache,kmeans_hamming,7,0.1,8,19,0.18508502814411176
Apache,kmeans_random,7,0.1,8,19,0.19561234109554376
Apache,kmeans_default,8,0.1,8,19,0.18874840227872614
Apache,kmeans_hamming,8,0.1,8,19,0.19030926136789628
Apache,kmeans_random,8,0.1,8,19,0.15738729703676024
Apache,kmeans_default,9,0.1,8,19,0.22371547044972856
Apache,kmeans_hamming,9,0.1,8,19,0.2062026353793163
Apache,kmeans_random,9,0.1,8,19,0.18070717193114155
Apache,kmeans_default,10,0.1,8,19,0.21285262411077352
Apache,kmeans_hamming,10,0.1,8,19,0.22337196021469738
Apache,kmeans_random,10,0.1,8,19,0.21183986594822202
Apache,kmeans_default,11,0.1,8,19,0.2163008500733458
Apache,kmeans_hamming,11,0.1,8,19,0.19294260040397687
Apache,kmeans_random,11,0.1,8,19,0.19060951718442706
Apache,kmeans_default,12,0.1,8,19,0.2190008958289927
Apache,kmeans_hamming,12,0.1,8,19,0.1721446560293535
Apache,kmeans_random,12,0.1,8,19,0.20058106364207848
Apache,kmeans_default,13,0.1,8,19,0.17431934926488565
Apache,kmeans_hamming,13,0.1,8,19,0.2375661894267308
Apache,kmeans_random,13,0.1,8,19,0.15572204931237535
Apache,kmeans_default,14,0.1,8,19,0.20173164139790256
Apache,kmeans_hamming,14,0.1,8,19,0.20465093010197266
Apache,kmeans_random,14,0.1,8,19,0.1916687270170379
Apache,kmeans_default,15,0.1,8,19,0.19881528888228553
Apache,kmeans_hamming,15,0.1,8,19,0.18496155203676126
Apache,kmeans_random,15,0.1,8,19,0.16538493530944626
Apache,kmeans_default,16,0.1,8,19,0.22722547548812172
Apache,kmeans_hamming,16,0.1,8,19,0.18557701473834942
Apache,kmeans_random,16,0.1,8,19,0.17871883146250034
Apache,kmeans_default,17,0.1,8,19,0.21933792830439572
Apache,kmeans_hamming,17,0.1,8,19,0.20254892068577848
Apache,kmeans_random,17,0.1,8,19,0.2163934518067163
Apache,kmeans_default,18,0.1,8,19,0.1658004767063228
Apache,kmeans_hamming,18,0.1,8,19,0.24090680364850453
Apache,kmeans_random,18,0.1,8,19,0.15039756499269766
Apache,kmeans_default,19,0.1,8,19,0.2106319485205597
Apache,kmeans_hamming,19,0.1,8,19,0.18470202951299583
Apache,kmeans_random,19,0.1,8,19,0.20381588719894564
Apache,random,,0.1,9,19,0.17478890561973687
Apache,kmeans_default,5,0.1,9,19,0.17802484656657147
Apache,kmeans_hamming,5,0.1,9,19,0.1611295403662597
Apache,kmeans_random,5,0.1,9,19,0.17440185707244005
Apache,kmeans_default,6,0.1,9,19,0.2171077340034414
Apache,kmeans_hamming,6,0.1,9,19,0.16397495830280504
Apache,kmeans_random,6,0.1,9,19,0.17283580464139459
Apache,kmeans_default,7,0.1,9,19,0.18120745967900934
Apache,kmeans_hamming,7,0.1,9,19,0.18465525323739865
Apache,kmeans_random,7,0.1,9,19,0.1900384889666018
Apache,kmeans_default,8,0.1,9,19,0.18100639516130268
Apache,kmeans_hamming,8,0.1,9,19,0.1621161354657558
Apache,kmeans_random,8,0.1,9,19,0.1844247292340368
Apache,kmeans_default,9,0.1,9,19,0.184250945970726
