dataset,sampling_method,k,sample_fraction,sample_size,mean_mape,std_mape
Apache,kmeans_random,13,0.6,115,0.15875871715075687,0.008731148764007445
Apache,kmeans_random,14,0.6,115,0.16000748833012057,0.01013352143268951
Apache,kmeans_random,15,0.6,115,0.15717940184093773,0.007220817421805435
Apache,kmeans_random,16,0.6,115,0.1569599173801426,0.010108810984644721
Apache,kmeans_random,17,0.6,115,0.15891238811375966,0.009323491976811104
Apache,kmeans_random,18,0.6,115,0.15480487406160082,0.010016400906385848
Apache,kmeans_random,19,0.6,115,0.1559210154885957,0.009360135029556299
Apache,kmeans_random,20,0.6,115,0.1574649911193444,0.009902192719810717
Apache,random,,0.6,115,0.15497203311437674,0.01065708049630747
Apache,diversity,,0.7,134,0.1372563266529891,0.0
Apache,kmeans_default,5,0.7,134,0.15430708382577027,0.03179419193874596
Apache,kmeans_default,6,0.7,134,0.14576512163312358,0.012961097804949051
Apache,kmeans_default,7,0.7,134,0.14726139761556617,0.013776877597117617
Apache,kmeans_default,8,0.7,134,0.14716745853145408,0.012796391031665674
Apache,kmeans_default,9,0.7,134,0.14618086938816716,0.013280522471305416
Apache,kmeans_default,10,0.7,134,0.14287320788171626,0.006893418230573527
Apache,kmeans_default,11,0.7,134,0.1468233399550061,0.00896709229009488
Apache,kmeans_default,12,0.7,134,0.14618613976627667,0.009852265883111002
Apache,kmeans_default,13,0.7,134,0.14824222507635085,0.009584889447749963
Apache,kmeans_default,14,0.7,134,0.1469299723468561,0.010873820164321108
Apache,kmeans_default,15,0.7,134,0.14533604347770165,0.008097538606316016
Apache,kmeans_default,16,0.7,134,0.14912452076978272,0.011609214939557242
Apache,kmeans_default,17,0.7,134,0.15056654958392696,0.013781348600711356
Apache,kmeans_default,18,0.7,134,0.14495283932150446,0.009802671387966722
Apache,kmeans_default,19,0.7,134,0.1436760445275159,0.010638645688663927
Apache,kmeans_default,20,0.7,134,0.14954951260099364,0.010215259093277128
Apache,kmeans_hamming,5,0.7,134,0.16462265276824678,0.023482456312515932
Apache,kmeans_hamming,6,0.7,134,0.1526513151584355,0.009616038245799529
Apache,kmeans_hamming,7,0.7,134,0.15731819164458571,0.010996208959801908
Apache,kmeans_hamming,8,0.7,134,0.15569097622257805,0.012182844447534685
Apache,kmeans_hamming,9,0.7,134,0.15847437760252653,0.008855036764232585
Apache,kmeans_hamming,10,0.7,134,0.1562997948814613,0.01200118506824243
Apache,kmeans_hamming,11,0.7,134,0.15502104574263822,0.01129999654623121
Apache,kmeans_hamming,12,0.7,134,0.1591862935233942,0.012503397248951715
Apache,kmeans_hamming,13,0.7,134,0.16128800692747708,0.013496890204397111
Apache,kmeans_hamming,14,0.7,134,0.16134074196629763,0.011130982274297384
Apache,kmeans_hamming,15,0.7,134,0.16153060609870967,0.012456364249739631
Apache,kmeans_hamming,16,0.7,134,0.15927723785822953,0.011646589882706844
Apache,kmeans_hamming,17,0.7,134,0.1638044974590646,0.012449760103800752
Apache,kmeans_hamming,18,0.7,134,0.16038928365590088,0.011154885426069646
Apache,kmeans_hamming,19,0.7,134,0.1580996900717972,0.01250595046325066
Apache,kmeans_hamming,20,0.7,134,0.16341381351904094,0.009160377263598208
