dataset,sampling_method,k,sample_fraction,repetition,sample_size,mape
Apache,kmeans_random,46,0.3,4,58,0.18000703919769315
Apache,kmeans_default,47,0.3,4,58,0.15182249418857674
Apache,kmeans_hamming,47,0.3,4,58,0.17141462041147024
Apache,kmeans_random,47,0.3,4,58,0.15941165596917006
Apache,kmeans_default,48,0.3,4,58,0.1602276666064268
Apache,kmeans_hamming,48,0.3,4,58,0.1628364885035972
Apache,kmeans_random,48,0.3,4,58,0.15549035215649817
Apache,kmeans_default,49,0.3,4,58,0.15562278400156299
Apache,kmeans_hamming,49,0.3,4,58,0.18719671637385488
Apache,kmeans_random,49,0.3,4,58,0.1711268650651708
Apache,kmeans_default,50,0.3,4,58,0.15115342197636505
Apache,kmeans_hamming,50,0.3,4,58,0.16480573284055042
Apache,kmeans_random,50,0.3,4,58,0.1666982737455868
Apache,random,,0.4,4,77,0.15101843114905264
Apache,kmeans_default,5,0.4,4,77,0.15911839936560396
Apache,kmeans_hamming,5,0.4,4,77,0.14594141619445264
Apache,kmeans_random,5,0.4,4,77,0.15399744155346476
Apache,kmeans_default,6,0.4,4,77,0.15616263712796769
Apache,kmeans_hamming,6,0.4,4,77,0.15494809237920362
Apache,kmeans_random,6,0.4,4,77,0.16192329561036425
Apache,kmeans_default,7,0.4,4,77,0.1533568529830981
Apache,kmeans_hamming,7,0.4,4,77,0.15795047083029953
Apache,kmeans_random,7,0.4,4,77,0.15308852299715545
Apache,kmeans_default,8,0.4,4,77,0.16660775955211063
Apache,kmeans_hamming,8,0.4,4,77,0.15688717999192558
Apache,kmeans_random,8,0.4,4,77,0.15658117872600985
Apache,kmeans_default,9,0.4,4,77,0.1528241631638533
Apache,kmeans_hamming,9,0.4,4,77,0.1651514952638363
Apache,kmeans_random,9,0.4,4,77,0.16838517837294803
Apache,kmeans_default,10,0.4,4,77,0.14400948022719384
Apache,kmeans_hamming,10,0.4,4,77,0.14384900068248574
Apache,kmeans_random,10,0.4,4,77,0.14536481228030068
Apache,kmeans_default,11,0.4,4,77,0.1521002195337849
Apache,kmeans_hamming,11,0.4,4,77,0.15175393978616228
Apache,kmeans_random,11,0.4,4,77,0.1593599378639892
Apache,kmeans_default,12,0.4,4,77,0.15238761247178306
Apache,kmeans_hamming,12,0.4,4,77,0.16186081491510523
Apache,kmeans_random,12,0.4,4,77,0.1563474482716034
Apache,kmeans_default,13,0.4,4,77,0.15332821395823587
Apache,kmeans_hamming,13,0.4,4,77,0.16531544302865633
Apache,kmeans_random,13,0.4,4,77,0.14904618686388657
Apache,kmeans_default,14,0.4,4,77,0.1518637803937179
Apache,kmeans_hamming,14,0.4,4,77,0.15090851468234168
Apache,kmeans_random,14,0.4,4,77,0.16382899204102452
Apache,kmeans_default,15,0.4,4,77,0.1495727312692131
Apache,kmeans_hamming,15,0.4,4,77,0.15451203389803328
Apache,kmeans_random,15,0.4,4,77,0.17727559723576694
Apache,kmeans_default,16,0.4,4,77,0.15468105527132317
Apache,kmeans_hamming,16,0.4,4,77,0.16418306986516848
Apache,kmeans_random,16,0.4,4,77,0.15425803541151561
Apache,kmeans_default,17,0.4,4,77,0.15282356536222816
Apache,kmeans_hamming,17,0.4,4,77,0.16322090630350863
Apache,kmeans_random,17,0.4,4,77,0.16157292593469172
Apache,kmeans_default,18,0.4,4,77,0.14347383999421034
Apache,kmeans_hamming,18,0.4,4,77,0.15554252553445022
Apache,kmeans_random,18,0.4,4,77,0.1530750846002616
Apache,kmeans_default,19,0.4,4,77,0.14425855659828385
Apache,kmeans_hamming,19,0.4,4,77,0.16065155512739732
Apache,kmeans_random,19,0.4,4,77,0.16002000571755814
Apache,kmeans_default,20,0.4,4,77,0.15459817661635716
Apache,kmeans_hamming,20,0.4,4,77,0.15628563333702483
Apache,kmeans_random,20,0.4,4,77,0.16341453982521098
Apache,kmeans_default,21,0.4,4,77,0.17445336485380217
Apache,kmeans_hamming,21,0.4,4,77,0.17005362091938087
Apache,kmeans_random,21,0.4,4,77,0.15931681026239122
Apache,kmeans_default,22,0.4,4,77,0.14803388611411727
Apache,kmeans_hamming,22,0.4,4,77,0.14754892521324456
Apache,kmeans_random,22,0.4,4,77,0.1427211783093498
Apache,kmeans_default,23,0.4,4,77,0.14797856866657455
Apache,kmeans_hamming,23,0.4,4,77,0.15947603263231677
Apache,kmeans_random,23,0.4,4,77,0.15606816163964804
Apache,kmeans_default,24,0.4,4,77,0.14463751380019207
Apache,kmeans_hamming,24,0.4,4,77,0.15794502111010236
Apache,kmeans_random,24,0.4,4,77,0.16042568100169557
Apache,kmeans_default,25,0.4,4,77,0.14926117670746467
Apache,kmeans_hamming,25,0.4,4,77,0.14723446675516522
Apache,kmeans_random,25,0.4,4,77,0.1518802113505025
Apache,kmeans_default,26,0.4,4,77,0.16238246327814793
Apache,kmeans_hamming,26,0.4,4,77,0.1543270407426094
Apache,kmeans_random,26,0.4,4,77,0.15836028485349007
Apache,kmeans_default,27,0.4,4,77,0.1449129477716947
